Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CYBERCITY DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,32887/2017,2017,201919337,,,,,,,,
2,WP,24054/2019,2019,201920044,,,,,,,,
3,WP,34855/2022,2022,202224796,,,,,,,,
4,WP,5573/2020,2020,202020581,,,,,,,,
5,WP,8876/2023,2023,202327956,,,,,,,,
6,WP,4105/2018,2018,201818712,,,,,,,,
7,APPL,Jan-22,2022,202224177,,,,,,,,
8,WP,20050/2023,2023,202328440,,,,,,,,
9,WP,29967/2023,2023,202328854,,,,,,,,
10,WP,27922/2023,2023,202328779,,,,,,,,
11,WP,19458/2013,2013,201515086,,,,,,,,
12,WP,31086/2022,2022,202224729,,,,,,,,
13,WP,26256/2019,2019,201920154,,,,,,,,
14,WP,25150/2018,2018,201919328,,,,,,,,
15,WP,30026/2023,2023,202328898,,,,,,,,
16,WP,26105/2023,2023,202328719,,,,,,,,
17,WP,1210/2021,2021,202121776,,,,,,,,
18,WP,27899/2023,2023,202328777,,,,,,,,
19,WP,24106/2018,2018,201919373,,,,,,,,
20,WP,17506/2016,2016,201617879,,,,,,,,
21,WP,7381/2019,2019,202122645,,,,,,,,
22,WP,24715/2023,2023,202328676,,,,,,,,
23,WP,24623/2022,2022,202224483,,,,,,,,
24,WP,32325/2023,2023,202328987,,,,,,,,
25,WP,10495/2023,2023,202328039,,,,,,,,
26,WP,18612/2023,2023,202328385,,,,,,,,
27,WP,15266/2021,2021,202122110,,,,,,,,
28,WP,25721/2022,2022,202224573,,,,,,,,
29,WP,23457/2018,2018,201919329,,,,,,,,
30,WP,15474/2019,2019,201920140,,,,,,,,
31,WP,32355/2018,2018,201818944,,,,,,,,
32,WP,32340/2023,2023,202328991,,,,,,,,
33,CC,229/2014,2014,201516256,,,,,,,,
34,WP,27786/2008,2008,201515062,,,,,,,,
35,WP,3534/2013,2013,201516304,,,,,,,,
36,WP,24453/2019,2019,201920062,,,,,,,,
37,WP,24300/2023,2023,202328642,,,,,,,,
38,WP,2310/2021,2021,202121849,,,,,,,,
39,IA,59/2014,2014,201516197,,,,,,,,
40,WP,11053/2022,2022,202224138,,,,,,,,
41,WP,25941/2018,2018,201919239,,,,,,,,
42,WP,40620/2018,2018,201919223,,,,,,,,
43,CC,1297/2021,2021,202122517,,,,,,,,
44,WP,25877/2023,2023,202328698,,,,,,,,
45,WP,40084/2014,2014,201617300,,,,,,,,
46,WP,36837/2013,2013,201616517,,,,,,,,
47,WP,38029/2021,2021,202222936,,,,,,,,
48,WP,16259/2013,2013,201718163,,,,,,,,
49,WP,26863/2019,2019,201920184,,,,,,,,
50,WP,35182/2018,2018,201919211,,,,,,,,
51,WP,31948/2023,2023,202328978,,,,,,,,
52,WP,9039/2014,2014,202328962,,,,,,,,
53,WP,29557/2023,2023,202328882,,,,,,,,
54,WP,21854/2020,2020,202021621,,,,,,,,
55,WP,29689/2023,2023,202328862,,,,,,,,
56,WP,26598/2016,2016,201617850,,,,,,,,
57,WP,10394/2018,2018,201818785,,,,,,,,
58,WP,13724/2019,2019,201920119,,,,,,,,
59,WP,530/2020,2020,202020340,,,,,,,,
60,WP,3339/2021,2021,202121863,,,,,,,,
61,WP,20483/2020,2020,202021539,,,,,,,,
62,WP,7904/2021,2021,202121983,,,,,,,,
63,WP,20933/2023,2023,202328473,,,,,,,,
64,WP,43404/2022,2022,202224985,,,,,,,,
65,WP,8783/2023,2023,202327940,,,,,,,,
66,WP,6221/2018,2018,202224786,,,,,,,,
67,WP,13283/2020,2020,202021170,,,,,,,,
68,WP,28641/2023,2023,202328822,,,,,,,,
69,AA,66/2014,2014,201516200,,,,,,,,
70,WP,21662/2021,2021,202122383,,,,,,,,
71,WP,11971/2023,2023,202328084,,,,,,,,
72,WP,36564/2017,2017,201919267,,,,,,,,
73,APPL,3787/2007,2014,201516246,,,,,,,,
74,WP,20058/2020,2020,202021530,,,,,,,,
75,WP,27702/2019,2019,201920210,,,,,,,,
76,WP,21778/2022,2022,202224416,,,,,,,,
77,WP,26846/2023,2023,202328741,,,,,,,,
78,WP,24612/2023,2023,202328659,,,,,,,,
79,WP,4776/2019,2019,201919866,,,,,,,,
80,WP,14558/2019,2019,201919943,,,,,,,,
