Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF GADWAL DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,26746/2017,2017,201718460,,,,,,,,
2,WP,24237/2023,2023,202328621,,,,,,,,
3,WP,18031/2023,2023,202328367,,,,,,,,
4,WP,5966/2023,2023,202327827,,,,,,,,
5,WP,15675/2009,2009,201919584,,,,,,,,
6,WP,8449/2017,2017,201718225,,,,,,,,
7,WP,25295/2022,2022,202224552,,,,,,,,
8,WP,16784/2022,2022,202224372,,,,,,,,
9,I.A.,24/2016,2016,201919907,,,,,,,,
10,HRC,2097/2018,2018,201819013,,,,,,,,
11,WP,26258/2023,2023,202328703,,,,,,,,
12,HRC,4281/2016,2016,201919519,,,,,,,,
13,WP,11625/2020,2020,202021010,,,,,,,,
14,HRC,4833/2021,2021,202122528,,,,,,,,
15,CC(CF),209/2021,2021,202327915,,,,,,,,
