Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF HABSIGUDA DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,12954,2013,201513989,,,,,,,,
2,WP,23850/2019,2019,201920020,,,,,,,,
3,OS,440/2004,2004,201617729,,,,,,,,
4,WP,7328/2020,2020,202020767,,,,,,,,
5,WP,30512/2021,2021,202122595,,,,,,,,
6,WP,13498/2003,2003,201617466,,,,,,,,
7,WP,25125/2017,2017,201718449,,,,,,,,
8,WA,150,2009,201513997,,,,,,,,
9,WP,1658/2003,2003,201617736,,,,,,,,
10,WP,25097/2021,2021,202122472,,,,,,,,
11,WP,28856/2009,2009,201515112,,,,,,,,
12,WP,33913,2014,201514878,,,,,,,,
13,WP,4256/2014,2014,202122160,,,,,,,,
14,WP,13406/2020,2020,202021168,,,,,,,,
15,WP,9991/2020,2020,202020944,,,,,,,,
16,WP,8921/2017,2017,201718180,,,,,,,,
17,WP,12221/2021,2021,202122022,,,,,,,,
18,WP,19220/2001,2001,201617321,,,,,,,,
19,WP,17615/2003,2003,201617737,,,,,,,,
20,WP,18557/2017,2017,201718398,,,,,,,,
21,WP,21751/2000,2000,201617753,,,,,,,,
22,WP,5114/2006,2006,201617429,,,,,,,,
23,WP,34483/1998,1998,201617347,,,,,,,,
24,WP,19652/2017,2017,201718326,,,,,,,,
25,WP,29217/2016,2016,201618048,,,,,,,,
26,WP,32946/2023,2023,202329029,,,,,,,,
27,WP,24125/2016,2016,201617837,,,,,,,,
28,WP,32556/2023,2023,202329001,,,,,,,,
29,WP,34389/2014,2014,201617836,,,,,,,,
30,WP,19505/2017,2017,201718447,,,,,,,,
31,WA,658/2021,2021,202122710,,,,,,,,
32,WP,17786/2004,2004,201617548,,,,,,,,
33,CD,96/2003,2003,201617800,,,,,,,,
34,WP,27196/2015,2015,201515382,,,,,,,,
35,WP,235/2012,2012,201718188,,,,,,,,
36,CC(CF),105/2009,2009,201617409,,,,,,,,
37,WP,3173/2021,2021,202121837,,,,,,,,
38,WA,152,2009,201514001,,,,,,,,
39,WP,33626/2018,2018,201919721,,,,,,,,
40,OS,1206/2013,2013,201718328,,,,,,,,
41,WP,13810/2022,2022,202224208,,,,,,,,
42,WP,23857/2013,2013,201617731,,,,,,,,
43,WP,16761/2005,2005,201617452,,,,,,,,
44,WP,5263/2022,2022,202223059,,,,,,,,
45,WP,38744/2015,2015,201617335,,,,,,,,
46,OS,728/2007,2007,201617552,,,,,,,,
47,WP,25433/2009,2009,201515117,,,,,,,,
48,WP,126,2015,201514938,,,,,,,,
49,WP,21967/2004,2004,201617346,,,,,,,,
50,WP,20700/1999,1999,201617350,,,,,,,,
51,WP,13747/2019,2019,201919798,,,,,,,,
52,WP,10497/2022,2022,202224106,,,,,,,,
53,WP,6109/2022,2022,202223060,,,,,,,,
54,WP,7542/2016,2016,201617499,,,,,,,,
55,WP,9560/2016,2016,201617547,,,,,,,,
56,WP,7115/2014,2014,201515767,,,,,,,,
57,WP,29973/2021,2021,202122574,,,,,,,,
58,WP,7267/2015,2015,201617564,,,,,,,,
59,EA,38/2014,2014,201617804,,,,,,,,
60,WP,22155/2023,2023,202328542,,,,,,,,
61,WP,24525,2005,201514017,,,,,,,,
62,WP,25454/2019,2019,201920168,,,,,,,,
63,WA,87,2009,201514057,,,,,,,,
64,WP,20173/2013,2013,201515029,,,,,,,,
65,WP,32430/2014,2014,201515034,,,,,,,,
66,WP,3607/2020,2020,202020468,,,,,,,,
67,WP,2681/2007,2007,201617444,,,,,,,,
68,CC,810/2023,2023,202328274,,,,,,,,
69,WP,3153/2020,2020,202020458,,,,,,,,
70,WP,14714/2014,2014,202222809,,,,,,,,
71,WP,29601,2013,201514771,,,,,,,,
72,WP,37275/2017,2017,201718579,,,,,,,,
73,WP,11036/2020,2020,202021012,,,,,,,,
74,WP,16209/2004,2004,201617526,,,,,,,,
75,OS,1230/2008,2008,201617792,,,,,,,,
76,WP,9853/2005,2005,201515456,,,,,,,,
77,WP,22494/1996,1996,201617279,,,,,,,,
78,WP,13607/2020,2020,202021199,,,,,,,,
79,WP,23704/2023,2023,202328606,,,,,,,,
80,WP,33800/2021,2021,202122680,,,,,,,,
81,WP,27240/2005,2005,201617380,,,,,,,,
