Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF Hyderabad South DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,HRC,9636/2016,2016,201718131,,,,,,,,
2,WP,7655/2022,2022,202223130,,,,,,,,
3,WP,26820,2005,201514732,,,,,,,,
4,WP,33397/2016,2016,201919504,,,,,,,,
5,WP,27278/2023,2023,202328758,,,,,,,,
6,WP,15473/2023,2023,202328283,,,,,,,,
7,WP,27764,2010,201513744,,,,,,,,
8,LOK,207/2015,2015,201515396,,,,,,,,
9,WP,9498/2015,2015,201515409,,,,,,,,
10,WP,2656/2022,2022,202222980,,,,,,,,
11,WP,7707/2015,2015,201617176,,,,,,,,
12,WP,6613/2019,2019,201919879,,,,,,,,
13,WP,1779/2022,2022,202223000,,,,,,,,
14,WP,6235/2022,2022,202223068,,,,,,,,
15,WP,22367/2013,2013,201617357,,,,,,,,
16,WP,12557/2021,2021,202122212,,,,,,,,
17,WP,42368/2022,2022,202224982,,,,,,,,
18,WP,28645/2021,2021,202122560,,,,,,,,
19,WP,42596/2018,2018,202122070,,,,,,,,
20,WP,3872/2019,2019,201919409,,,,,,,,
21,WP,38984/2013,2013,201515325,,,,,,,,
22,WP,10941/2023,2023,202328062,,,,,,,,
23,I.A.,Mar-23,2023,202328017,,,,,,,,
24,OS,1730/2015,2015,201616867,,,,,,,,
25,WP,14048/2022,2022,202224378,,,,,,,,
26,WP,5656/2023,2023,202327930,,,,,,,,
27,WP,44360/2022,2022,202225045,,,,,,,,
28,CD,438/2000,2000,201616869,,,,,,,,
29,WP,23596,2003,201514728,,,,,,,,
30,WP,463/2023,2023,202327602,,,,,,,,
31,WP,32166/2023,2023,202328997,,,,,,,,
32,WP,27448/2022,2022,202224630,,,,,,,,
33,WP,29982/2011,2011,202328154,,,,,,,,
34,WA,542/2023,2023,202328377,,,,,,,,
35,WP,23061/2010,2017,201718544,,,,,,,,
36,OS,1564/2017,2017,201718346,,,,,,,,
37,OS,2626/2018,2018,201919325,,,,,,,,
38,WP,17782/2022,2022,202224319,,,,,,,,
39,LOK,4519/2013,2013,201515368,,,,,,,,
40,WP,33639/2021,2021,202122702,,,,,,,,
41,WP,20220,2003,201513704,,,,,,,,
42,WP,9054/2021,2021,202122002,,,,,,,,
43,OS,606/2022,2022,202224787,,,,,,,,
44,WP,9273/2023,2023,202327984,,,,,,,,
45,WP,19177/2021,2021,202122297,,,,,,,,
46,WP,1905/2023,2023,202327633,,,,,,,,
47,WP,10460/2022,2022,202224121,,,,,,,,
48,HRC,7645/2013,2013,201515345,,,,,,,,
49,WP,9324/2023,2023,202327977,,,,,,,,
50,WP,W.P.M.P.No.3813/2015 in W.P.No.2850/2015,2015,201513738,,,,,,,,
51,WP,32167/2023,2023,202328998,,,,,,,,
52,WP,32047/2023,2023,202328976,,,,,,,,
53,WP,283/2007,2007,201513716,,,,,,,,
54,WP,20756/2022,2022,202224385,,,,,,,,
55,WP,24339/2019,2019,201920059,,,,,,,,
56,WP,3098/2016,2016,201617482,,,,,,,,
57,WP,3180/2018,2018,201818698,,,,,,,,
58,OS,1840/2017,2017,201919565,,,,,,,,
59,CONSUMER CASE (CC),13/2020,2020,202222874,,,,,,,,
60,WP,5293/2021,2021,202328183,,,,,,,,
61,WP,19963/2015,2015,201718318,,,,,,,,
62,WP,13342/2023,2023,202328286,,,,,,,,
63,WP,28650/2021,2021,202122563,,,,,,,,
64,WP,31371/2017,2017,201718480,,,,,,,,
65,WP,4537/2023,2023,202327772,,,,,,,,
66,WP,5011/2019,2019,201919556,,,,,,,,
67,WP,28642/2021,2021,202122576,,,,,,,,
68,WP,13057/2023,2023,202328110,,,,,,,,
69,WP,8397/2023,2023,202327935,,,,,,,,
70,WP,459/2023,2023,202327603,,,,,,,,
71,WP,13649,2013,201513726,,,,,,,,
72,WP,30750/2015,2015,201515329,,,,,,,,
73,CC(CF),958,2006,201515391,,,,,,,,
74,WP,30118/2023,2023,202328892,,,,,,,,
75,WP,6098/2020,2020,202020601,,,,,,,,
76,WP,894/2020,2020,202020331,,,,,,,,
77,WP,6943/2019,2019,201919580,,,,,,,,
78,WP,15407/2023,2023,202328284,,,,,,,,
79,WP,24895/2022,2022,202224526,,,,,,,,
