Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF MEDCHAL DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,8928/2022,2022,202328668,,,,,,,,
2,WP,20482,2006,201514182,,,,,,,,
3,WP,11642/2015,2015,201718358,,,,,,,,
4,WP,24082/2019,2019,201920042,,,,,,,,
5,WP,871/2011,2011,201515594,,,,,,,,
6,WP,19312/2013,2013,201616365,,,,,,,,
7,WP,18224/2014,2014,201616712,,,,,,,,
8,WP,3119/2011,2011,201616673,,,,,,,,
9,WP,12159/2005,2005,201616375,,,,,,,,
10,WP,13086/2010,2010,201616374,,,,,,,,
11,WP,28337/2013,2013,201515244,,,,,,,,
12,WP,2098/2013,2013,201516329,,,,,,,,
13,WP,13815/2006,2006,201616777,,,,,,,,
14,WP,21983/2012,2012,202328149,,,,,,,,
15,WP,33752/2018,2018,202328148,,,,,,,,
16,WP,4041/2020,2020,202020467,,,,,,,,
17,WP,12334/2022,2022,202328667,,,,,,,,
18,WP,29642/2023,2023,202329005,,,,,,,,
19,WP,30492/2023,2023,202328926,,,,,,,,
20,WP,18602/2013,2013,201616370,,,,,,,,
21,WP,18331/2014,2014,201616713,,,,,,,,
22,OS,162/2014,2014,201617690,,,,,,,,
23,WP,35338/2022,2022,202224807,,,,,,,,
24,WP,22913/2010,2010,201616738,,,,,,,,
25,WP,24795/2019,2019,201920151,,,,,,,,
26,WP,3700/2004,2004,201616478,,,,,,,,
27,WP,27279/2023,2023,202328759,,,,,,,,
28,WP,22543/2014,2014,201616353,,,,,,,,
29,WP,29882/2023,2023,202328864,,,,,,,,
30,WP,19868/2013,2013,201616369,,,,,,,,
31,WP,4844/2014,2014,201616350,,,,,,,,
32,WP,28985/2019,2019,202020279,,,,,,,,
33,WP,12648/2021,2021,202122226,,,,,,,,
34,WP,29324/2010,2010,201515606,,,,,,,,
35,WP,39704/2018,2018,202328151,,,,,,,,
36,WP,4228/2011,2011,201515513,,,,,,,,
37,WP,7104/2011,2011,201515598,,,,,,,,
38,WP,3691/2002,2002,201616413,,,,,,,,
39,WP,9681/2001,2001,201616403,,,,,,,,
40,WP,1152/2011,2011,201515599,,,,,,,,
41,WP,8379/2015,2015,201718357,,,,,,,,
42,WP,6165/2013,2013,201616367,,,,,,,,
43,WP,712/2013,2013,201718348,,,,,,,,
44,WP,19009/2021,2021,202122533,,,,,,,,
45,WP,16971/2021,2021,202122201,,,,,,,,
46,WP,33111/2014,2014,201616333,,,,,,,,
47,WP,29425/2023,2023,202328889,,,,,,,,
48,WP,32477/2012,2012,201616337,,,,,,,,
49,WP,362/2011,2011,201515582,,,,,,,,
50,WP,5310/2012,2012,201516331,,,,,,,,
51,WP,22286/2019,2019,201920006,,,,,,,,
52,WP,3973/2020,2020,202020465,,,,,,,,
53,WP,15191/2021,2021,202122114,,,,,,,,
54,WP,4862/2020,2020,202020534,,,,,,,,
55,WP,14106/1997,1997,201616371,,,,,,,,
56,WP,26017/2015,2015,201718359,,,,,,,,
57,WP,18389/2010,2010,201616715,,,,,,,,
58,WP,4484/2020,2020,202020533,,,,,,,,
59,CC,2375/2023,2023,202328899,,,,,,,,
60,WP,4620/2011,2011,201616675,,,,,,,,
61,WP,1225/2010,2010,201515802,,,,,,,,
62,WP,1087/2011,2011,201515597,,,,,,,,
63,WP,34041/2015,2015,201718352,,,,,,,,
64,WP,25897/2023,2023,202328735,,,,,,,,
65,WP,3756/2011,2011,201515518,,,,,,,,
66,WP,28988/2019,2019,202020278,,,,,,,,
67,WP,32989/2022,2022,202224905,,,,,,,,
68,WP,13616/2014,2014,201616360,,,,,,,,
69,WP,17635/2020,2020,202021442,,,,,,,,
70,WP,23955/2019,2019,201920021,,,,,,,,
71,WP,10506/2014,2014,202328959,,,,,,,,
72,WP,25589,2009,201513987,,,,,,,,
73,WP,16354/2009,2009,201616372,,,,,,,,
74,WP,27168/2023,2023,202328805,,,,,,,,
75,WP,29445/2010,2010,201515592,,,,,,,,
76,WP,29987/2012,2012,201616351,,,,,,,,
77,WP,33196/2016,2016,201617906,,,,,,,,
78,WP,3813/2011,2011,201515573,,,,,,,,
79,WP,9744/2001,2001,201616405,,,,,,,,
80,WP,9669/2001,2001,201616407,,,,,,,,
