Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF Medak DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,31339/2015,2015,201617623,,,,,,,,
2,WP,11645/2016,2016,201617892,,,,,,,,
3,WP,39655/2022,2022,202224909,,,,,,,,
4,WP,34016/2022,2022,202224777,,,,,,,,
5,WP,8734/2023,2023,202327943,,,,,,,,
6,WP,25345/2022,2022,202224549,,,,,,,,
7,WP,37670,2014,201514480,,,,,,,,
8,WP,31163/2023,2023,202328922,,,,,,,,
9,WP,37986/2022,2022,202224886,,,,,,,,
10,WP,44524/2022,2022,202225026,,,,,,,,
11,WP,46917/2016,2016,202328159,,,,,,,,
12,WP,10551,2014,201514461,,,,,,,,
13,WP,28770/2013,2013,201514417,,,,,,,,
14,WP,35485,2013,201514435,,,,,,,,
15,WP,20834/2009,2009,201515808,,,,,,,,
16,WP,34550/2015,2015,201617621,,,,,,,,
17,WP,7972,2010,201514352,,,,,,,,
18,WP,23517/2010,2010,201515363,,,,,,,,
19,WP,40714/2016,2016,201618004,,,,,,,,
20,WP,12275/2019,2019,201919679,,,,,,,,
21,WP,28173/2013,2013,201514421,,,,,,,,
22,WP,17317/2016,2016,201617777,,,,,,,,
23,WP,35154,2013,201514433,,,,,,,,
24,WP,31961/2022,2022,202224745,,,,,,,,
25,HRC,3291/2021,2021,202224903,,,,,,,,
26,WP,25310/2022,2022,202224548,,,,,,,,
27,WP,4820,2013,201514394,,,,,,,,
28,WP,44565/2022,2022,202225015,,,,,,,,
29,CC,2086/2023,2023,202328846,,,,,,,,
30,WP,31401/2015,2015,201617611,,,,,,,,
31,WP,21730,2007,201514320,,,,,,,,
32,WP,28426/2016,2016,201617889,,,,,,,,
33,WP,3498/2017,2017,201718164,,,,,,,,
34,WP,6528/2020,2020,202020600,,,,,,,,
35,EP,Jul-20,2020,202222870,,,,,,,,
36,WP,29494,2013,201514425,,,,,,,,
37,WP,34465/2015,2015,201617622,,,,,,,,
38,WP,36254/2015,2015,201618040,,,,,,,,
39,WP,16881/2020,2020,202021593,,,,,,,,
40,WP,25462/2022,2022,202224560,,,,,,,,
41,WP,3079/2023,2023,202327688,,,,,,,,
42,WP,11119/2023,2023,202328047,,,,,,,,
43,WP,12775,2010,201514360,,,,,,,,
44,WP,13415/2016,2016,201617880,,,,,,,,
45,WP,4715/2020,2020,202020513,,,,,,,,
46,WP,12191/2023,2023,202328126,,,,,,,,
47,WP,3889/2021,2021,202121821,,,,,,,,
48,WP,16188,2010,201514368,,,,,,,,
49,WP,10971,2010,201514358,,,,,,,,
50,WP,38487,2013,201514443,,,,,,,,
51,WP,42423/2016,2016,201718218,,,,,,,,
52,AS,497/2008,2008,202328186,,,,,,,,
53,WP,807,2015,201514990,,,,,,,,
54,CC,2617/2023,2023,202329031,,,,,,,,
55,WP,12263/2019,2019,201919678,,,,,,,,
56,WP,4052/2014,2014,202328906,,,,,,,,
57,WP,18348/2023,2023,202328386,,,,,,,,
58,WP,6901/2022,2022,202223057,,,,,,,,
59,WP,15722/2011,2011,201514380,,,,,,,,
60,WP,3518/2017,2017,201718165,,,,,,,,
61,WP,33957/2022,2022,202224772,,,,,,,,
62,WP,34357/2021,2021,202222944,,,,,,,,
63,WP,9397,2010,201514356,,,,,,,,
64,WP,35251/2015,2015,201617612,,,,,,,,
65,WP,17077,2009,201514336,,,,,,,,
66,WP,37998/2022,2022,202224884,,,,,,,,
67,WP,9650/2021,2021,202222790,,,,,,,,
68,WP,938/2023,2023,202327606,,,,,,,,
69,WP,15328/2023,2023,202328264,,,,,,,,
70,WP,29034/2023,2023,202328849,,,,,,,,
