Table 1
,,,,,,,,,,,,
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF NAGARKURNOOL DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,OS,133/2009,2009,201515951,,,,,,,,
2,WP,14502/2016,2016,201718309,,,,,,,,
3,CONSUMER CASE (CC),70/2020,2020,202021677,,,,,,,,
4,WP,31501/2023,2023,202328950,,,,,,,,
5,WP,28621/2023,2023,202328808,,,,,,,,
6,CC(CF),19/2019,2019,202224990,,,,,,,,
7,HRC,1651/2020,2020,202224992,,,,,,,,
8,WP,27049/13,2013,201617510,,,,,,,,
9,LOK,439/2020,2020,202224991,,,,,,,,
10,CONSUMER CASE (CC),71/2020,2020,202021678,,,,,,,,
11,WP,9959/2022,2022,202223167,,,,,,,,
