Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF SANGAREDDY DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,4561,2012,201514390,,,,,,,,
2,WA,795/2016,2016,201617965,,,,,,,,
3,WP,11571/2020,2020,202021027,,,,,,,,
4,WP,24022/2019,2019,202328163,,,,,,,,
5,WP,16682,2007,201514318,,,,,,,,
6,WP,14794/2021,2021,202122084,,,,,,,,
7,CC,2216/2023,2023,202328782,,,,,,,,
8,WP,11827/2019,2019,201919940,,,,,,,,
9,WP,25832/2015,2015,201617610,,,,,,,,
10,WP,28169/2013,2013,201514423,,,,,,,,
11,WP,20347/2017,2017,201718350,,,,,,,,
12,WP,15934/2002,2002,202121859,,,,,,,,
13,WP,15654/2020,2020,202021294,,,,,,,,
14,WP,17063,2011,201514378,,,,,,,,
15,WP,26618,2013,201514414,,,,,,,,
16,WP,4391/2020,2020,202020478,,,,,,,,
17,WP,20270/2021,2021,202328317,,,,,,,,
18,WA,1172,2009,201514347,,,,,,,,
19,WP,20196/2023,2023,202328451,,,,,,,,
20,WA,74/2021,2021,202328164,,,,,,,,
21,WP,7556,2009,201514330,,,,,,,,
22,WP,7048/2021,2021,202121892,,,,,,,,
23,WA,112/2021,2021,202121954,,,,,,,,
24,WP,7752/2016,2016,201617775,,,,,,,,
25,WP,7443/2023,2023,202327901,,,,,,,,
26,WP,23720,2008,201514324,,,,,,,,
27,WP,5265/2020,2020,202020556,,,,,,,,
28,WP,12081/2021,2021,202122077,,,,,,,,
29,WP,25697,2011,201514387,,,,,,,,
30,WP,25326/2022,2022,202224551,,,,,,,,
31,WP,26281/2022,2022,202224604,,,,,,,,
32,WP,13897,2010,201514362,,,,,,,,
33,WP,11218/2022,2022,202224134,,,,,,,,
34,WP,41692/2022,2022,202224939,,,,,,,,
35,WP,20941/2023,2023,202328481,,,,,,,,
36,WP,25603/2022,2022,202224567,,,,,,,,
37,WP,24610/2021,2021,202122740,,,,,,,,
38,WP,16124/2021,2021,202122167,,,,,,,,
39,WP,25963/2022,2022,202224576,,,,,,,,
40,WP,1859/2022,2022,202222998,,,,,,,,
41,WP,19382,2006,201514314,,,,,,,,
42,WP,15864,2009,201514334,,,,,,,,
43,WP,12963/2021,2021,202122082,,,,,,,,
44,CC,734/2021,2021,202122072,,,,,,,,
45,WP,25369/2022,2022,202224554,,,,,,,,
46,WP,17311/2008,2008,202224825,,,,,,,,
47,WP,36747/2022,2022,202224860,,,,,,,,
48,WP,22080/2023,2023,202328530,,,,,,,,
49,WP,3294/2019,2019,201919654,,,,,,,,
50,WP,27586/2019,2019,201920199,,,,,,,,
51,CC,760/2020,2020,202021325,,,,,,,,
52,WP,30757/2021,2021,202122599,,,,,,,,
53,WP,22336/2020,2020,202021638,,,,,,,,
54,WP,25185/2023,2023,202328704,,,,,,,,
55,WP,4054/2014,2014,202328904,,,,,,,,
56,WP,15406/2023,2023,202328282,,,,,,,,
57,WP,15314/2011,2011,202328975,,,,,,,,
58,WP,25656,2011,201514388,,,,,,,,
59,WP,23846/2016,2016,201617881,,,,,,,,
60,WP,13455/2017,2017,201718341,,,,,,,,
61,WP,20088/2020,2020,202021532,,,,,,,,
62,WP,11327/2019,2019,201920068,,,,,,,,
63,WP,25859/2015,2015,202328168,,,,,,,,
64,WP,12139/2023,2023,202328113,,,,,,,,
65,WA,629/2023,2023,202328318,,,,,,,,
66,WP,4914/2023,2023,202327780,,,,,,,,
67,WP,28305,2009,201514343,,,,,,,,
68,WP,14587/2022,2022,202224238,,,,,,,,
69,WP,27188/2023,2023,202328746,,,,,,,,
70,WP,8366/2005,2005,202121862,,,,,,,,
71,WP,2310/2016,2016,201617870,,,,,,,,
72,CC(CF),Apr-16,2016,201718340,,,,,,,,
73,WP,8831/2023,2023,202327944,,,,,,,,
74,WP,5933/2017,2017,201919645,,,,,,,,
75,WP,14388,2010,201514366,,,,,,,,
76,WP,41408/2022,2022,202224926,,,,,,,,
77,WP,31567/2021,2021,202122604,,,,,,,,
78,WP,31544/2023,2023,202328948,,,,,,,,
79,WP,18048/2015,2015,201617613,,,,,,,,
80,WP,19631/2022,2022,202224359,,,,,,,,
81,WP,23325,2010,201514374,,,,,,,,
82,WP,11061/2009,2009,202328160,,,,,,,,
