Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF SE/IPC DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,3006/2005,2005,201516066,,,,,,,,
2,WP,5173/2020,2020,202020564,,,,,,,,
3,WP,24878/2023,2023,202328687,,,,,,,,
4,WP,2916/2005,2005,201515873,,,,,,,,
5,WP,35386/2016,2016,201718554,,,,,,,,
6,WP,19494/2023,2023,202328422,,,,,,,,
7,WP,7921/2013,2013,202122171,,,,,,,,
8,CC,1674/2018,2018,202328376,,,,,,,,
9,WP,1065/2020,2020,202020333,,,,,,,,
10,WP,2081/2005,2005,201516278,,,,,,,,
11,WP,37899/2015,2015,201616508,,,,,,,,
12,WP,29494/2014,2014,201516092,,,,,,,,
13,WP,8144/2016,2016,201617586,,,,,,,,
14,WP,37741/2015,2015,201616842,,,,,,,,
15,WP,10194/2015,2015,201514484,,,,,,,,
16,WP,28783/2014,2014,201516091,,,,,,,,
17,WP,16140/2023,2023,202328319,,,,,,,,
18,WP,3132/2021,2021,202121890,,,,,,,,
19,WP,6327/2016,2016,201617702,,,,,,,,
20,WP,36780/2015,2015,201617268,,,,,,,,
21,WP,7523,2015,201514488,,,,,,,,
22,WP,9383/2016,2016,201617894,,,,,,,,
23,WP,28771/2019,2019,201920245,,,,,,,,
24,WP,35804/2021,2021,202122733,,,,,,,,
25,WP,2896,2005,201515105,,,,,,,,
26,WP,28257/2019,2019,201920238,,,,,,,,
27,WP,29986/2014,2014,201516094,,,,,,,,
28,WP,29946/2023,2023,202328867,,,,,,,,
29,WP,25317/2011,2011,201516053,,,,,,,,
30,WP,29109/2019,2019,202020266,,,,,,,,
31,WP,8102/2016,2016,201617598,,,,,,,,
32,WP,3018/2005,2005,201516047,,,,,,,,
33,WP,3713/2019,2019,201919567,,,,,,,,
34,WP,17947,2015,201514063,,,,,,,,
35,WP,37408/2015,2015,201617363,,,,,,,,
36,WP,6894,2015,201514060,,,,,,,,
37,WP,44810/2017,2017,201818767,,,,,,,,
38,WP,15374/2006,2006,202328963,,,,,,,,
39,WP,2764,2005,201513871,,,,,,,,
40,WP,2473/2013,2013,201718532,,,,,,,,
41,WP,6150/2021,2021,202121891,,,,,,,,
42,WP,4929/2005,2005,201516050,,,,,,,,
43,WP,29454,2014,201514640,,,,,,,,
44,WP,32426/2023,2023,202329006,,,,,,,,
45,WP,329/2020,2020,202020301,,,,,,,,
46,WP,28339/2019,2019,201920241,,,,,,,,
47,WP,13637/2019,2019,201919953,,,,,,,,
48,WP,3396/2020,2020,202020442,,,,,,,,
49,WP,2769/2014,2014,201515252,,,,,,,,
50,WP,37901/15,2015,201617365,,,,,,,,
51,WP,35027/2015,2015,202222821,,,,,,,,
52,WP,22199/2016,2016,201617853,,,,,,,,
53,WP,2936/2005,2005,201516065,,,,,,,,
54,WP,8802/2016,2016,201617442,,,,,,,,
55,WP,3083/2021,2021,202121818,,,,,,,,
56,WP,2398/2005,2005,201516045,,,,,,,,
57,WP,9050/2022,2022,202223869,,,,,,,,
58,WP,8383/2014,2014,201515251,,,,,,,,
59,WP,27779/2019,2019,201920201,,,,,,,,
60,WP,30905/2023,2023,202328923,,,,,,,,
61,WP,20498/2023,2023,202328464,,,,,,,,
62,WP,19690/2016,2016,201617790,,,,,,,,
63,WP,24904/2016,2016,201617902,,,,,,,,
64,WP,3012/2005,2005,201515113,,,,,,,,
65,WP,29515/2014,2014,201617591,,,,,,,,
66,WP,31416/2023,2023,202328953,,,,,,,,
67,WP,10153/2015,2015,201514660,,,,,,,,
68,WP,37814/2015,2015,201616837,,,,,,,,
69,WP,2620/2021,2021,202121768,,,,,,,,
70,WP,W.P.M.P.No.13451 of 2015 in W.P.No.10202 of 2015,2015,201514486,,,,,,,,
71,WP(PIL),15313/2007,2007,201818772,,,,,,,,
72,WP,36689/2012,2012,201515864,,,,,,,,
73,WP,30620/2023,2023,202328916,,,,,,,,
74,WP,3252/2020,2020,202020430,,,,,,,,
75,WP,36617/2015,2015,201616855,,,,,,,,
76,WP,38282/2015,2015,201616853,,,,,,,,
77,WP,34033/2016,2016,201718083,,,,,,,,
78,WP,8330/2020,2020,202020825,,,,,,,,
79,CMA,1813/2013,2013,201516265,,,,,,,,
