Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF SECUNDERABAD DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,28372,2013,201513670,,,,,,,,
2,WP,7175/2020,2020,202020692,,,,,,,,
3,WP,23269/2020,2020,202121722,,,,,,,,
4,WP,23638/19,2019,202021267,,,,,,,,
5,WP,19713/2020,2020,202021506,,,,,,,,
6,WP,19748/2023,2023,202328447,,,,,,,,
7,WP,7028/2020,2020,202020686,,,,,,,,
8,WP,19381/2020,2020,202021498,,,,,,,,
9,WP,21660/2023,2023,202328512,,,,,,,,
10,WP,34422,2013,201513674,,,,,,,,
11,WP,22080/2016,2016,201617928,,,,,,,,
12,WP,8739/2020,2020,202020856,,,,,,,,
13,WP,8385/2016,2016,201617912,,,,,,,,
14,WP,10364/2020,2020,202020986,,,,,,,,
15,WP,21629/2016,2016,201617926,,,,,,,,
16,WP,16641/2019,2019,201920105,,,,,,,,
17,WP,19741/2020,2020,202021507,,,,,,,,
18,WP,14208/2020,2020,202021228,,,,,,,,
19,WP,10814/2020,2020,202021085,,,,,,,,
20,WP,31074/2017,2017,201919316,,,,,,,,
21,WP,25352/2017,2017,201718432,,,,,,,,
22,WP,3941,2015,201514859,,,,,,,,
23,WP,12859/2019,2019,201919887,,,,,,,,
24,WP,21813/2023,2023,202328546,,,,,,,,
25,WP,19386/2020,2020,202021496,,,,,,,,
26,WP,2756/2019,2019,201919739,,,,,,,,
27,WP,425,2009,201513650,,,,,,,,
28,WP,11954,2012,201513661,,,,,,,,
29,WP,8423/2021,2021,202121941,,,,,,,,
30,WP,29878/2023,2023,202328873,,,,,,,,
31,OS,2,2001,201617559,,,,,,,,
32,WP,22739/2020,2020,202222793,,,,,,,,
33,WP,8762/2020,2020,202020853,,,,,,,,
34,WP,16162,2015,201514760,,,,,,,,
35,WP,5513,2014,201513679,,,,,,,,
36,WP,20901,2012,201513663,,,,,,,,
37,WP,30530,2011,201513659,,,,,,,,
38,OS,1036,2007,201514931,,,,,,,,
39,OS,595/2018,2018,201819002,,,,,,,,
40,WP,24580/2023,2023,202328660,,,,,,,,
41,WP,41313,2014,201513697,,,,,,,,
42,WP,6601/2016,2016,201617412,,,,,,,,
43,WP,23402/2020,2020,202021706,,,,,,,,
44,WP,4143/2009,2009,202224474,,,,,,,,
45,WP,1048,2014,201513677,,,,,,,,
46,WP,1311/2019,2019,201919391,,,,,,,,
47,WP,11821/2016,2016,201617798,,,,,,,,
48,WP,14986/2023,2023,202328253,,,,,,,,
49,WP,35355,2013,201513675,,,,,,,,
50,WP,28987/2023,2023,202328838,,,,,,,,
51,WP,10643/2020,2020,202021082,,,,,,,,
52,WP,36589,2013,201513676,,,,,,,,
53,WP,29401,2014,201514808,,,,,,,,
54,WP,24274/2017,2017,201718433,,,,,,,,
55,WP,22530/2023,2023,202328545,,,,,,,,
56,WP,10256,2005,201514987,,,,,,,,
57,WP,32583/2023,2023,202329000,,,,,,,,
58,WP,10505/2020,2020,202021080,,,,,,,,
59,WP,8421/2021,2021,202121938,,,,,,,,
60,WP,16504/2017,2017,201718330,,,,,,,,
61,WP,14765/2017,2017,201718303,,,,,,,,
62,HRC,54/2021,2021,202122624,,,,,,,,
63,WP,20146/2019,2019,201920125,,,,,,,,
64,WP,29295/2017,2017,201919728,,,,,,,,
65,WP,22655/2020,2020,202021662,,,,,,,,
66,HRC,357/06,2006,201513622,,,,,,,,
67,OS,783,2004,201514933,,,,,,,,
68,WP,28178,2012,201514744,,,,,,,,
69,WP,12721/2020,2020,202021150,,,,,,,,
70,WP,10577/2020,2020,202021081,,,,,,,,
71,WP,8096/2017,2017,201718333,,,,,,,,
72,WP,7100/2016,2017,201718269,,,,,,,,
73,WP,16529/2020,2020,202021591,,,,,,,,
74,WP,16489/2020,2020,202021355,,,,,,,,
75,HRC,221/2020,2020,202121735,,,,,,,,
76,WP,10397/2020,2020,202020987,,,,,,,,
77,WP,13140,2006,201513642,,,,,,,,
78,WP,31029,2013,201513671,,,,,,,,
79,CC(CF),25,2008,201514895,,,,,,,,
80,WP,27246/2005,2005,201919359,,,,,,,,
81,WP,2604/2020,2020,202020419,,,,,,,,
82,WP,10651/2020,2020,202021083,,,,,,,,
83,OS,608,2012,201514886,,,,,,,,
