Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF BANJARAHILLS DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,44100/2022,2022,202225009,,,,,,,,
2,WP,25006/2019,2019,201920248,,,,,,,,
3,WP,13268/2019,2019,201919791,,,,,,,,
4,WP,5693/2023,2023,202327811,,,,,,,,
5,WP,28704/2023,2023,202328807,,,,,,,,
6,WP,18822/2022,2022,202224352,,,,,,,,
7,WP,24268/2022,2022,202224495,,,,,,,,
8,WP,12881/2023,2023,202328131,,,,,,,,
9,WP,11175/2023,2023,202328053,,,,,,,,
10,WP,38449/2018,2018,202020380,,,,,,,,
11,WP,8134/2020,2020,202020790,,,,,,,,
12,WP,26690,2009,201513652,,,,,,,,
13,WP,22824/2017,2017,201919269,,,,,,,,
14,CRLP,10196/2022,2022,202225028,,,,,,,,
15,WP,11911/2021,2021,202122048,,,,,,,,
16,WP,2645/2020,2020,202020416,,,,,,,,
17,WP,28268,2010,201513687,NOT FILED,,,,,,,
18,WP,30585/2022,2022,202224709,NOT FILED,,,,,,,
19,WP,4491/2023,2023,202327769,,,,,,,,
20,WP,10260/2023,2023,202328013,,,,,,,,
21,WP,30579/2022,2022,202224710,NOT FILED,,,,,,,
22,WP,15840/2019,2019,201919787,,,,,,,,
23,WP,20419/2019,2019,201919968,,,,,,,,
24,WP,21099/2017,2017,201919220,,,,,,,,
25,WP,6433/2023,2023,202327849,,,,,,,,
26,WP,17590/2005,2005,201919526,OLD YEAR,,,,,,,
27,WP,8232/2021,2021,202121939,,,,,,,,
28,CC(CF),73/2023,2023,202327852,LOWER COURT,,,,,,,
29,WP,25063/2022,2022,202224529,,,,,,,,
30,WP,13902/2019,2019,201919788,,,,,,,,
31,WP,25053/2022,2022,202224531,,,,,,,,
32,LOK,2064/2014/B2,2014,201514909,LOWER COURT,,,,,,,
33,WP,15422/2017,2017,201718419,,,,,,,,
34,WP,809/2023,2023,202327607,,,,,,,,
35,WP,29591/2022,2022,202224691,,,,,,,,
36,OS,2221,2005,201514929,LOWER COURT,,,,,,,
37,WP,613/2023,2023,202327599,,,,,,,,
38,WP,13295/2023,2023,202328271,,,,,,,,
39,WP,9756/2022,2022,202223867,,,,,,,,
40,WP,10927/2019,2019,201919789,,,,,,,,
41,WP,24817/2022,2022,202224523,,,,,,,,
42,WP,4584,2014,201513680,,,,,,,,
43,WP,29594/2022,2022,202224687,,,,,,,,
44,WP,4489/2023,2023,202327770,,,,,,,,
45,WP,25903/2019,2019,201920136,,,,,,,,
46,WP,5891/2012,2012,201919514,OLD YEAR,,,,,,,
47,WP,14540/2020,2020,202021237,,,,,,,,
48,WP,6015/2023,2023,202327828,,,,,,,,
49,WP,37065,2013,201513695,NOT FILED,,,,,,,
50,WP,10986/2019,2019,201919790,,,,,,,,
51,WP,23649,2017,201718567,,,,,,,,
52,WP,40685/2018,2018,201919714,,DONE [2],,,,,,
53,WP,33280/2022,2022,202224763,,,,,,,,
54,OS,2558/2021,2021,202122410,LOWER COURT,,,,,,,
55,WP,6434/2013,2013,201718347,,,,,,,,
56,WP,19660/2017,2017,201919079,,,,,,,,
57,WP,12912/2021,2021,202122329,,,,,,,,
58,WP,5236/2023,2023,202327789,,,,,,,,
59,WP,29894/2023,2023,202328861,,,,,,,,
60,WP,10189/2023,2023,202328006,,,,,,,,
61,EA,53/2016,2016,201617898,LOWER COURT,,,,,,,
62,WP,24476/2017,2017,201718438,,,,,,,,
63,WP,20120/2023,2023,202328444,,,,,,,,
64,WP,32934/2017,2017,201818622,,,,,,,,
65,WP,43518/2022,2022,202225002,,,,,,,,
66,WP,45693/2022,2022,202225055,,,,,,,,
67,OS,Mar-00,2000,20155471,LOWER COURT,,,,,,,
68,WP,13330/2019,2019,201919792,,,,,,,,
69,WP,25055/2022,2022,202224537,,,,,,,,
70,WP,9698/2023,2023,202327999,,,,,,,,
71,WP,23875/2019,2019,201920180,NOT FILED,,,,,,,
72,WP,23003/2023,2023,202328565,,,,,,,,
73,WP,22030/2023,2023,202328534,,,,,,,,
74,WP,25070/2022,2022,202224530,,,,,,,,
75,WP,13728/2016,2016,201718278,,,,,,,,
76,WP,32296/2023,2023,202328984,NOT FILED,,,,,,,
77,WP,24990/2021,2021,202122465,,,,,,,,
