Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CGM/MasterPlan DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,HRC,3936/2020,2020,202121783,,,,,,,,
2,OS,965/2014,2014,201819005,,,,,,,,
3,WP,30963/2011,2011,201718325,,,,,,,,
4,WP,23235/2017,2017,201718409,,,,,,,,
5,WP,23348,2017,201718408,,,,,,,,
6,LOK,999/2020,2020,202121806,,,,,,,,
7,WP,35901/2017,2017,201718581,,,,,,,,
8,WP,12675/2018,2018,201818811,,,,,,,,
9,WP,3714/2019,2019,202020678,,,,,,,,
