Table 1
,,,,,,,,,,,,
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CGM/Operation DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,40424/2016,2016,201718150,,,,,,,,
2,HRC,1750/2011,2011,201513614,,,,,,,,
3,EP,Jan-16,2016,201617974,,,,,,,,
4,WP,2199/2017,2017,201718126,,,,,,,,
5,WP,20030/2017,2017,201718351,,,,,,,,
6,WP,5755/2021,2021,202121933,,,,,,,,
7,HRC,5142/2014,2014,201513620,,,,,,,,
8,WP,36228/2018,2018,201818939,,,,,,,,
9,WP,37540/2016,2016,201617976,,,,,,,,
10,WP,25855/2016,2016,201617973,,,,,,,,
