Table 1
,,,,,,,,,,,,
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CGM/P & MM DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,28349,2010,201514722,,,,,,,,
2,WP,25075/2022,2022,202224557,,,,,,,,
3,WP,210,2013,201514719,,,,,,,,
4,WP,28381,2010,201514724,,,,,,,,
5,WP,16930,2014,201514726,,,,,,,,
6,CCCA,47/2022,2022,202327877,,,,,,,,
7,WP,4916/2016,2016,201617352,,,,,,,,
8,WP,16891,2014,201514727,,,,,,,,
9,OS,352/2009,2009,201617468,,,,,,,,
10,WP,26894,2013,201514720,,,,,,,,
11,OS,274/2016,2016,201617972,,,,,,,,
