Table 1
,,,,,,,,,,,,
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF CGM/Projects DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,28120/2018,2018,201818913,,,,,,,,
2,OP,2643/2013,2013,201617233,,,,,,,,
3,WP,18870/2017,2017,201718315,,,,,,,,
4,WP,ArbitrationApplication No.26,2014,201514717,,,,,,,,
5,WP,4437/2014,2014,201617190,,,,,,,,
6,WP,83/2007,2007,201514715,,,,,,,,
7,WP,OPNo. 2644,2013,201514718,,,,,,,,
8,WP,6755/2021,2021,202121894,,,,,,,,
9,WP,503/2015,2015,201617191,,,,,,,,
10,WP(PIL),162/2018,2018,201818874,,,,,,,,
11,WP,18635/2017,2017,201718313,,,,,,,,
