Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF Hyderabad Central DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,8634/2019,2019,201919842,,,,,,,,
2,WP,23701/2019,2019,201920018,,,,,,,,
3,WP,37276/2021,2021,202222835,,,,,,,,
4,WP,21061,2009,201513807,,,,,,,,
5,WP,4579/2020,2020,202020536,,,,,,,,
6,WP,2821/2019,2019,201919839,,,,,,,,
7,WP,27352/2021,2021,202122550,,,,,,,,
8,WP,2281/2018,2018,201818693,,,,,,,,
9,WP,23916/2020,2020,202121737,,,,,,,,
10,WP,28371/2021,2021,202122643,,,,,,,,
11,WP,13215/2019,2019,201919849,,,,,,,,
12,WP,2069/2018,2018,201818686,,,,,,,,
13,WP,21349/2021,2021,202122458,,,,,,,,
14,WP,23590/2019,2019,201920050,,,,,,,,
15,WP,7370/2023,2023,202327884,,,,,,,,
16,WP,1327/2020,2020,202020376,,,,,,,,
17,WP,13836/2020,2020,202021203,,,,,,,,
18,WP,28026/2023,2023,202328802,,,,,,,,
19,WP,23185/2014,2014,202328961,,,,,,,,
20,WP,16871,2013,201513833,,,,,,,,
21,WP,3505/2020,2020,202020460,,,,,,,,
22,WP,11506/2020,2020,202021013,,,,,,,,
23,WP,10707/2020,2020,202021065,,,,,,,,
24,WP,43492/2017,2017,201919271,,,,,,,,
25,WP,16000/2019,2019,201919786,,,,,,,,
26,WP,26293/2018,2018,201818920,,,,,,,,
27,CC,153/2019,2019,202224733,,,,,,,,
28,WP,22642/2020,2020,202021640,,,,,,,,
29,WP,4027/2022,2022,202222989,,,,,,,,
30,WP,9995,2014,201513853,,,,,,,,
31,WP,21174/2005,2005,201513781,,,,,,,,
32,WP,9995/2014,2014,202222812,,,,,,,,
33,WP,19836,2007,201513795,,,,,,,,
34,WP,9140/2020,2020,202020907,,,,,,,,
35,WP,19226/2020,2020,202021492,,,,,,,,
36,WP,4575/2020,2020,202020537,,,,,,,,
37,WP,12760/2020,2020,202021153,,,,,,,,
38,WP,25208/2021,2021,202122492,,,,,,,,
39,WP,2386/2020,2020,202020402,,,,,,,,
40,WP,26392/2023,2023,202328756,,,,,,,,
41,WP,9272/2019,2019,201919848,,,,,,,,
42,WP,27709/2019,2019,201920209,,,,,,,,
43,WP,10505,2009,201513805,,,,,,,,
44,WP,25129/2019,2019,201920079,,,,,,,,
45,WP,19283/2020,2020,202021495,,,,,,,,
46,WP,16009/2019,2019,201919870,,,,,,,,
47,WP,27116/2021,2021,202122520,,,,,,,,
48,WP,30007/2023,2023,202328885,,,,,,,,
49,WP,24944,2005,201513783,,,,,,,,
50,WP,14177/2020,2020,202021229,,,,,,,,
51,WP,2499/2011,2011,201818912,,,,,,,,
52,WP,4891/2020,2020,202020541,,,,,,,,
53,WP,26711/2023,2023,202328740,,,,,,,,
54,CC(CF),125/2018,2018,201818993,,,,,,,,
55,WP,15359/2020,2020,202021310,,,,,,,,
56,WP,13870/2020,2020,202021202,,,,,,,,
57,WP,27122/2021,2021,202122521,,,,,,,,
58,WP,23008/2023,2023,202328541,,,,,,,,
59,WP,8832/2019,2019,201919845,,,,,,,,
60,WP,9699/2020,2020,202020958,,,,,,,,
61,WP,12481/2020,2020,202021151,,,,,,,,
62,WP,29002/2021,2021,202222909,,,,,,,,
63,WP,8086/2020,2020,202020786,,,,,,,,
64,WP,5134/2011,2011,201818879,,,,,,,,
65,WP,23510/2020,2020,202021675,,,,,,,,
66,WP,13836/2018,2018,201818803,,,,,,,,
67,WP,15891/2020,2020,202021319,,,,,,,,
68,WP,30534/2022,2022,202224706,,,,,,,,
69,WP,29560/2022,2022,202224794,,,,,,,,
70,WP,10817/2020,2020,202021067,,,,,,,,
71,WP,31151,2011,201513821,,,,,,,,
72,WP,26980/2012,2012,201818926,,,,,,,,
73,WP,7712/2011,2011,201818925,,,,,,,,
74,WP,19957/2020,2020,202021513,,,,,,,,
75,OS,3054/2022,2022,202224785,,,,,,,,
76,WP,5966/2011,2011,201818881,,,,,,,,
77,WP,28071/2019,2019,201920255,,,,,,,,
78,WP,9747/2020,2020,202020950,,,,,,,,
79,WP,28155/2009,2009,202328964,,,,,,,,
80,WP,26888/2021,2021,202122554,,,,,,,,
81,WP,14618/2019,2019,201919850,,,,,,,,
