Table 1
,,,,,,,,,,,,
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF Mahaboobnagar DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,28287,2013,201514583,,,,,,,,
2,OS,52/2014,2014,201515172,,,,,,,,
3,WP,15878/2009,2009,201515952,,,,,,,,
4,WP,4339/2016,2016,201617873,,,,,,,,
5,WP,15781/2009,2009,201818656,,,,,,,,
6,WP,18909,2015,201514666,,,,,,,,
7,OS,85/18,2018,201919311,,,,,,,,
8,OS,77/2008,2008,201515912,,,,,,,,
9,WP,13580/2019,2019,201919904,,,,,,,,
10,WP,43004/2022,2022,202224964,,,,,,,,
11,WP,28170,2013,201514591,,,,,,,,
12,WP,21052,2011,201514545,,,,,,,,
13,CC,443/2020,2020,202020763,,,,,,,,
14,CC,48/2019,2019,202224521,,,,,,,,
15,CONSUMER CASE (CC),84/2022,2022,202225011,,,,,,,,
16,OS,47/2009,2009,201513420,,,,,,,,
17,LOK,1009/2021,2021,202122527,,,,,,,,
18,WP,31112/2011,2011,201515846,,,,,,,,
19,WP,29729/2015,2015,201617281,,,,,,,,
20,WP,4730/2017,2017,201718184,,,,,,,,
21,WP,2768/2017,2017,201718223,,,,,,,,
22,CC(CF),84/2012,2012,201515918,,,,,,,,
23,WP,13984/2019,2019,201919922,,,,,,,,
24,WP,2121/2016,2016,201617848,,,,,,,,
25,PIL,357/2015,2015,201616863,,,,,,,,
26,WP,25985/2009,2009,201818632,,,,,,,,
27,WP,14085/2019,2019,201919920,,,,,,,,
28,WP,8657,2013,201514567,,,,,,,,
29,WP,33515/2015,2015,201617283,,,,,,,,
30,WP,6202,2015,201514648,,,,,,,,
31,WP,7865/2009,2009,201818657,,,,,,,,
32,OS,19/2021,2021,202122514,,,,,,,,
33,WP,23921/2017,2017,201718469,,,,,,,,
34,WP,16714,2012,201514555,,,,,,,,
35,CC(CF),85/2012,2012,201515425,,,,,,,,
36,WP,40200/2022,2022,202224947,,,,,,,,
37,WP,712/2016,2016,201617871,,,,,,,,
38,WP,25236/2016,2016,201617977,,,,,,,,
39,WP,35773/2012,2012,201617432,,,,,,,,
40,WP,9435/2017,2017,201718216,,,,,,,,
41,WP,25359/2022,2022,202224553,,,,,,,,
42,WP,15293/2009,2009,201818655,,,,,,,,
43,CC(CF),56/2010,2010,201515850,,,,,,,,
44,CC(CF),65/2013,2013,201617603,,,,,,,,
45,WP,25440/2022,2022,202224563,,,,,,,,
46,WP,28167,2013,201514593,,,,,,,,
47,CC,1268/2016,2016,201617994,,,,,,,,
48,WP,15352/2009,2009,201818643,,,,,,,,
49,WP,2693/2017,2017,201718222,,,,,,,,
50,WP,24445/2021,2021,202122444,,,,,,,,
51,OS,Oct-11,2011,201919499,,,,,,,,
52,OS,239/2019,2019,202020343,,,,,,,,
53,WP,8596/2019,2019,201919710,,,,,,,,
54,WP,19872,2013,201514581,,,,,,,,
55,WP,37021/2018,2018,201919509,,,,,,,,
56,WP,28211/2023,2023,202328794,,,,,,,,
57,WP,27500/2023,2023,202328767,,,,,,,,
58,WP,19891/2009,2009,201514529,,,,,,,,
59,CC(CF),128/2011,2011,201515843,,,,,,,,
60,WP,33510/2015,2015,201617282,,,,,,,,
61,WP,3476/2016,2016,201617907,,,,,,,,
62,CC,2175/2023,2023,202328781,,,,,,,,
63,WP,21064/2023,2023,202328478,,,,,,,,
64,WP,523/2018,2018,201818759,,,,,,,,
65,WP,8870/2009,2009,201818634,,,,,,,,
66,WP,3374/2003,2003,201818633,,,,,,,,
67,OS,40/2020,2020,202121791,,,,,,,,
68,WP,26060/2023,2023,202328701,,,,,,,,
69,WP,9523,2004,201514506,,,,,,,,
70,WP,4149/2017,2017,201718183,,,,,,,,
71,WP,27495/2023,2023,202328765,,,,,,,,
