Table 1
,,,,,,,,,,,,
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF Nalgonda DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,LOK,1498/2015,2015,201516161,,,,,,,,
2,WP,27845/2023,2023,202328780,,,,,,,,
3,WP,17659,2013,201513933,,,,,,,,
4,WP,27823/2013,2013,202328187,,,,,,,,
5,OS,222/2013,2013,201516027,,,,,,,,
6,OS,O.P.No.67/2000,2000,201513581,,,,,,,,
7,WP,13165/2015,2015,201515316,,,,,,,,
8,OS,49/2012,2012,201617767,,,,,,,,
9,LOK,3262/2015,2015,202021079,,,,,,,,
10,WP,35928/2014,2014,202328956,,,,,,,,
11,WP,11277/2023,2023,202328052,,,,,,,,
12,LOK,1501/2015,2015,201516163,,,,,,,,
13,CC,77/2021,2021,202122620,,,,,,,,
14,LOK,1685/2015,2015,202020998,,,,,,,,
15,WP,26732/1998,1998,201919170,,,,,,,,
16,LOK,1687/2015,2015,202021000,,,,,,,,
17,WP,38100/2014,2014,202329003,,,,,,,,
18,OS,114/2018,2018,201818823,,,,,,,,
19,WP,3196/2008,2008,201919657,,,,,,,,
20,WP,39906/2016,2016,202224473,,,,,,,,
21,CC,76/2021,2021,202122619,,,,,,,,
22,WP,32683/2023,2023,202329024,,,,,,,,
23,CONSUMER CASE (CC),26/2021,2021,202121984,,,,,,,,
24,LOK,1686/2015,2015,202020999,,,,,,,,
25,LOK,1497/2015,2015,202020995,,,,,,,,
26,LOK,1688/2015,2015,202021001,,,,,,,,
27,WA,924/2019,2019,202328181,,,,,,,,
28,OS,361/2006,2006,201515976,,,,,,,,
29,WP,3203/2008,2008,201919665,,,,,,,,
30,CC(CF),92/2021,2021,202224150,,,,,,,,
31,LOK,1500/2015,2015,201516162,,,,,,,,
32,WP,25398/2022,2022,202224545,,,,,,,,
33,WP,19/2014,2014,201516261,,,,,,,,
34,LOK,1502/2015,2015,201516164,,,,,,,,
35,OS,16/2012,2012,201617768,,,,,,,,
36,WP,28709/2019,2019,202224178,,,,,,,,
37,OP,253/2011,2011,201718162,,,,,,,,
38,LOK,1496/2015,2015,202020992,,,,,,,,
39,WP,34904/2014,2014,202328994,,,,,,,,
40,WP,10708/2019,2019,201919910,,,,,,,,
41,WP,6204/2021,2021,202121961,,,,,,,,
42,WP,15782/2022,2022,202224241,,,,,,,,
43,WP,25453/2015,2015,201516012,,,,,,,,
44,WP,9640/2020,2020,202020957,,,,,,,,
45,CC,74/2020,2020,202121708,,,,,,,,
46,CC(CF),93/2021,2021,202224163,,,,,,,,
47,CC(CF),Jun-10,2010,201516140,,,,,,,,
48,CC(CF),61/2021,2021,202222853,,,,,,,,
49,CC,1323/2015,2015,201516032,,,,,,,,
50,LOK,1503/2015,2015,201516165,,,,,,,,
51,WP,31301/2023,2023,202328919,,,,,,,,
52,WP,14445/2014,2014,201516273,,,,,,,,
53,CC,75/2021,2021,202122617,,,,,,,,
54,CC(CF),49/2008,2008,201617774,,,,,,,,
55,OS,766/2014,2014,202121780,,,,,,,,
56,WP,27475,2011,201513889,,,,,,,,
57,LOK,1684/2015,2015,202020997,,,,,,,,
