Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF RAJENDRANAGAR DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,7620/2017,2017,201718241,,,,,,,,
2,WP,19783/2020,2020,202021511,,,,,,,,
3,WP,10409/2023,2023,202328021,,,,,,,,
4,WP,20205/2008,2008,201514074,,,,,,,,
5,WP,27222,2012,201514557,,,,,,,,
6,WP,23201/2020,2020,202121748,,,,,,,,
7,WP,4594/2019,2019,201919425,,,,,,,,
8,WP,11340,2014,201514136,,,,,,,,
9,WP,19397,2015,201514678,,,,,,,,
10,WP,1391/2023,2023,202327620,,,,,,,,
11,WP,37477/2022,2022,202224846,,,,,,,,
12,WP,14658,2013,201514117,,,,,,,,
13,WP,1482/2018,2018,201818680,,,,,,,,
14,WP,13586/2004,2004,201515064,,,,,,,,
15,WP,614/2020,2020,202020395,,,,,,,,
16,WP,2452/2021,2021,202222816,,,,,,,,
17,WP,33703/2015,2015,201617284,,,,,,,,
18,WP,13653/2015,2015,201617277,,,,,,,,
19,WP,12037/2016,2016,201617896,,,,,,,,
20,WP,20955,2014,201514634,,,,,,,,
21,WP,13404/2023,2023,202328192,,,,,,,,
22,WP,14250/2016,2016,201718265,,,,,,,,
23,WP,18639/2020,2020,202021623,,,,,,,,
24,WP,13730/2023,2023,202328199,,,,,,,,
25,CC,1015/2015,2015,201516016,,,,,,,,
26,WPSR,7225/2016,2016,201617849,,,,,,,,
27,CONSUMER CASE (CC),81/2022,2022,202224962,,,,,,,,
28,WP,27513/2015,2015,201516128,,,,,,,,
29,WP,39446,2013,201514610,,,,,,,,
30,WP,45122/2018,2018,201919384,,,,,,,,
31,WP,4464/2016,2016,201617458,,,,,,,,
32,WP,18541/2022,2022,202224353,,,,,,,,
33,WP,2924/2021,2021,202222797,,,,,,,,
34,CC(CF),65/2010,2010,201516255,,,,,,,,
35,CC,1124/2021,2021,202122406,,,,,,,,
36,WP,33272/2021,2021,202122656,,,,,,,,
37,WP,3294/2023,2023,202327693,,,,,,,,
38,WP,33122/2022,2022,202224784,,,,,,,,
39,WP,28455/2023,2023,202328791,,,,,,,,
40,WP,20388/2021,2021,202122310,,,,,,,,
41,WP,19849,2012,201514559,,,,,,,,
42,WP,36367/2014,2014,202329009,,,,,,,,
43,WP,17794/2020,2020,202021469,,,,,,,,
44,WP,8482/2022,2022,202223118,,,,,,,,
45,WP,6213,2009,201514517,,,,,,,,
46,OS,48/2014,2014,201515037,,,,,,,,
47,WP,15299/2020,2020,202021270,,,,,,,,
48,WP,23147/2020,2020,202121747,,,,,,,,
49,WP,1747/2020,2020,202020375,,,,,,,,
50,WP,4256,2013,201514563,,,,,,,,
51,WP,37640,2013,201514605,,,,,,,,
52,WP,17389,2010,201514533,,,,,,,,
53,WP,19474,2010,201514535,,,,,,,,
54,WP,26242/2005,2005,201515292,,,,,,,,
55,WP,9862/2016,2016,201617913,,,,,,,,
56,OS,287/2006,2006,201718324,,,,,,,,
57,WP,28180,2013,201514597,,,,,,,,
58,WP,17767/2020,2020,202021467,,,,,,,,
59,WP,7931/2020,2020,202020835,,,,,,,,
60,WP,34536,2013,201514599,,,,,,,,
61,WP,5839/2011,2011,201515068,,,,,,,,
62,WP,30656,2011,201514549,,,,,,,,
63,WP,2789/2019,2019,201919429,,,,,,,,
64,WP,10147,2008,201514515,,,,,,,,
65,WP,36753/2016,2016,201617982,,,,,,,,
66,WP,17784/2020,2020,202021468,,,,,,,,
67,LOK,668/2014,2014,202328102,,,,,,,,
68,WP,7785/2019,2019,201919832,,,,,,,,
69,WP,6143/2020,2020,202222802,,,,,,,,
70,WP,5493/2016,2016,201617910,,,,,,,,
71,WP,11773/2021,2021,202121986,,,,,,,,
72,WP,20119,2007,201514511,,,,,,,,
73,WP,12624,2010,201514088,,,,,,,,
74,WP,12145,2013,201514569,,,,,,,,
75,WP,17358/2015,2015,201515039,,,,,,,,
76,CC,396/2020,2020,202020576,,,,,,,,
77,WP,13401/2023,2023,202328191,,,,,,,,
78,WP,37248,2013,201514603,,,,,,,,
79,WP,2823,2014,201514626,,,,,,,,
80,WP,30308/2021,2021,202122600,,,,,,,,
81,WP,8976,2012,201514098,,,,,,,,
82,WP,352,2014,201514616,,,,,,,,
