Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF SAROORNAGAR DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,6571/2021,2021,202222785,,,,,,,,
2,WP,11939/2017,2017,201718290,,,,,,,,
3,WP,28554/2023,2023,202328818,,,,,,,,
4,WP,7612/2015,2015,201617565,,,,,,,,
5,WP,1629/2019,2019,202222808,,,,,,,,
6,WP,36752/2021,2021,202222831,,,,,,,,
7,WP,2185/2011,2011,201513963,,,,,,,,
8,WP,8740/2023,2023,202327954,,,,,,,,
9,WP,29671,2013,201514126,,,,,,,,
10,WP,15475/2015,2015,201515706,,,,,,,,
11,WP,21935/2021,2021,202122392,,,,,,,,
12,WP,19852/2020,2020,202021512,,,,,,,,
13,WP,11448/2015,2015,201617272,,,,,,,,
14,WP,4828/2020,2020,202020538,,,,,,,,
15,WP,12607/2021,2021,202122035,,,,,,,,
16,WP,23900,2007,201514737,,,,,,,,
17,WP,47053/2018,2018,201919428,,,,,,,,
18,WP,14941/2021,2021,202122111,,,,,,,,
19,WP,5244/2020,2020,202020640,,,,,,,,
20,WP,24565/2020,2020,202121726,,,,,,,,
21,WP,14165/2020,2020,202021313,,,,,,,,
22,WP,28310/2023,2023,202328801,,,,,,,,
23,CC,845/2021,2021,202122165,,,,,,,,
24,WP,11297/2020,2020,202021063,,,,,,,,
25,WP,24597/2020,2020,202121734,,,,,,,,
26,WP,42785/2016,2016,201718093,,,,,,,,
27,WP,20172,2005,201514109,,,,,,,,
28,WP,5126,2015,201514872,,,,,,,,
29,WP,17536/2017,2017,201718336,,,,,,,,
30,WP,20622/2020,2020,202021555,,,,,,,,
31,WP,32378/2021,2021,202122642,,,,,,,,
32,WP,20355/2022,2022,202224377,,,,,,,,
33,WP,15755/2022,2022,202224275,,,,,,,,
34,WP,Feb-21,2021,202122019,,,,,,,,
35,WP,28951/2019,2019,202020680,,,,,,,,
36,WP,32938/2023,2023,202329028,,,,,,,,
37,WP,4880/2022,2022,202223009,,,,,,,,
38,CC,376/2015,2015,201516042,,,,,,,,
39,WP,27812,2014,201514140,,,,,,,,
40,OS,317/2018,2018,201818917,,,,,,,,
41,WP,15129/2017,2017,201718304,,,,,,,,
42,CC,93/2017,2017,201920034,,,,,,,,
43,WP,12763/2019,2019,201919829,,,,,,,,
44,WP,28559/2019,2019,201920256,,,,,,,,
45,WP,15975,2013,201514785,,,,,,,,
46,WP,17501/2017,2017,201718335,,,,,,,,
47,WP,9951/2016,2016,201617816,,,,,,,,
48,WP,18110/2021,2021,202122227,,,,,,,,
49,WP,14366/2021,2021,202122349,,,,,,,,
50,WP,8093/2020,2020,202020788,,,,,,,,
51,WP,17698/2023,2023,202328359,,,,,,,,
52,WP,19530/2021,2021,202122323,,,,,,,,
53,WP,9178/2022,2022,202223152,,,,,,,,
54,WP,2793,2012,201514094,,,,,,,,
55,WP,11341/2016,2016,201617563,,,,,,,,
56,WP,13200/2021,2021,202122331,,,,,,,,
57,OS,79/2014,2014,201920035,,,,,,,,
58,WP,12633/2021,2021,202122326,,,,,,,,
59,WP,29003/2014,2014,202328182,,,,,,,,
60,WP,4127/2018,2018,201818713,,,,,,,,
61,WP,15537/2022,2022,202224277,,,,,,,,
62,WP,444/2019,2019,202122089,,,,,,,,
63,WP,6976/2022,2022,202223076,,,,,,,,
64,WP,31835/2021,2021,202122607,,,,,,,,
65,WP,28548,2011,201513965,,,,,,,,
66,WP,24976/2013,2013,201718320,,,,,,,,
67,OS,69/2021,2021,202121896,,,,,,,,
68,WP,7521/2020,2020,202020744,,,,,,,,
69,WP,13996/2016,2016,201617895,,,,,,,,
70,WP,22991/2021,2021,202122413,,,,,,,,
71,WP,3921,2006,201514070,,,,,,,,
72,WP,22037/2022,2022,202224428,,,,,,,,
73,WP,6949/2022,2022,202223075,,,,,,,,
74,WP,3541/2023,2023,202327715,,,,,,,,
75,WP,14037/2019,2019,201919815,,,,,,,,
76,WP,34143/2021,2021,202122692,,,,,,,,
77,WP,8108/2023,2023,202327924,,,,,,,,
78,WP,20457/2022,2022,202224382,,,,,,,,
79,WP,1769/2017,2017,201718292,,,,,,,,
80,WP,34695/2022,2022,202224802,,,,,,,,
81,WP,24643/2023,2023,202328653,,,,,,,,
