Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF SE/Commercial DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,19893,2015,201514492,,,,,,,,
2,WP,22205,2014,201514632,,,,,,,,
3,WP,19394,2015,201514690,,,,,,,,
4,WP,11973/2004,2004,201616378,,,,,,,,
5,WP,35894/2016,2016,201617943,,,,,,,,
6,WP,19365,2015,201514684,,,,,,,,
7,WP,10930/2000,2000,201515402,,,,,,,,
8,WP,18921,2015,201514674,,,,,,,,
9,WP,27370/2019,2019,201920196,,,,,,,,
10,WP,20472,2015,201514502,,,,,,,,
11,WP,28553/2013,2013,201515233,,,,,,,,
12,WP,34907/2011,2011,201515404,,,,,,,,
13,WP,19289,2015,201514496,,,,,,,,
14,WP,25678/2003,2003,201515296,,,,,,,,
15,WP,25597/2005,2005,201515401,,,,,,,,
16,WP,40036/2014,2014,201718565,,,,,,,,
17,WP,19824,2015,201514770,,,,,,,,
18,WP,601/2004,2004,201616486,,,,,,,,
19,WP,13159/2008,2008,201616373,,,,,,,,
20,WP,438/2021,2021,202122274,,,,,,,,
21,WP,24657/2015,2015,201514768,,,,,,,,
22,WP,34901/2011,2011,201515403,,,,,,,,
23,WP,18914,2015,201514676,,,,,,,,
24,WP,4239,2015,201514144,,,,,,,,
25,WP,28225,2013,201514415,,,,,,,,
26,WP,34895/2011,2011,201515405,,,,,,,,
27,WP,19347/2015,2015,201516325,,,,,,,,
28,WP,40041/2014,2014,201718533,,,,,,,,
29,WP,34860,2014,201514474,,,,,,,,
30,WP,19828,2015,201514490,,,,,,,,
31,WP,28168,2013,201514431,,,,,,,,
32,WP,21821/2015,2015,201515045,,,,,,,,
33,WP,603/2004,2004,201616415,,,,,,,,
34,WP,23451/2015,2015,201516327,,,,,,,,
35,CC,149/2020,2020,202020377,,,,,,,,
36,WP,19264,2015,201514500,,,,,,,,
37,WP,24629/1997,1997,201515400,,,,,,,,
38,WP,1897/2020,2020,202020383,,,,,,,,
39,WP,20484,2015,201514688,,,,,,,,
40,WP,18188/2014,2014,201919490,,,,,,,,
41,WP,28343,2013,201514025,,,,,,,,
42,WP(PIL),63/2016,2016,201718582,,,,,,,,
43,WP,9797,2014,201514035,,,,,,,,
44,WA,21/2010,2010,202328184,,,,,,,,
45,WP,28228,2013,201514427,,,,,,,,
46,WP,18939,2015,201514668,,,,,,,,
47,WP,19712,2015,201514993,,,,,,,,
48,WP,20495,2015,201514702,,,,,,,,
49,WP,21321/2015,2015,201516277,,,,,,,,
50,WP,20486,2015,201514704,,,,,,,,
51,WP,19111,2015,201514694,,,,,,,,
52,WP,37247/2014,2014,201516297,,,,,,,,
53,WP,13173,2011,201514547,,,,,,,,
54,WP,23370/2005,2005,201516321,,,,,,,,
55,WP,19115,2015,201514692,,,,,,,,
56,WP,18532/2012,2012,201616338,,,,,,,,
57,WP,22245,2011,201514543,,,,,,,,
58,WP,20724,2015,201514700,,,,,,,,
59,WP,23441/2009,2009,201616377,,,,,,,,
60,WP,18905,2015,201514670,,,,,,,,
61,WP,19211,2015,201514682,,,,,,,,
62,WP,20470,2015,201514504,,,,,,,,
63,WP,20478,2015,201514698,,,,,,,,
64,WP,19323,2015,201514494,,,,,,,,
65,WP,34890/2011,2011,201515407,,,,,,,,
66,WP,33265/2012,2012,201516328,,,,,,,,
67,WP,5294/2012,2012,201516322,,,,,,,,
68,WP,27171/2015,2015,201516299,,,,,,,,
69,WP,19848,2015,201514680,,,,,,,,
70,WP,22221,2011,201514541,,,,,,,,
71,WP,19380/2015,2015,201516324,,,,,,,,
72,WP,4100,2014,201513845,,,,,,,,
73,WP,19106,2015,201514696,,,,,,,,
