Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF SE/RAC DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,18811,2015,201514664,,,,,,,,
2,SLP,20855/2015,2015,201515552,,,,,,,,
3,WP,22473/2010,2010,201617179,,,,,,,,
4,WP,14930/2011,2011,201616705,,,,,,,,
5,WP,26178/2010,2010,201616747,,,,,,,,
6,WP,2767/2011,2011,201616665,,,,,,,,
7,SLP,18217/2014,2014,201616977,,,,,,,,
8,WP,36765/2012,2012,201616543,,,,,,,,
9,WP,19280/2010,2010,201617178,,,,,,,,
10,SLP,27202/2014,2014,201617143,,,,,,,,
11,WP,27635/2010,2010,201616751,,,,,,,,
12,SLP,15880/2014,2014,201616922,,,,,,,,
13,SLP,15990/2014,2014,201616939,,,,,,,,
14,WP,29516/2010,2010,201515048,,,,,,,,
15,SLP,19798/2014,2014,201617044,,,,,,,,
16,WP,36706/2012,2012,201616536,,,,,,,,
17,WP,37310/2012,2012,201616625,,,,,,,,
18,WP,37239/2012,2012,201616615,,,,,,,,
19,WP,36172/2012,2012,201616468,,,,,,,,
20,WP,11217/2011,2011,201616703,,,,,,,,
21,WP,37296/2012,2012,201616624,,,,,,,,
22,SLP,19795/2014,2014,201617041,,,,,,,,
23,SLP,28246/2014,2014,201617148,,,,,,,,
24,SLP,26062/2014,2014,201617129,,,,,,,,
25,SLP,4494/2015,2015,201617214,,,,,,,,
26,SLP,663/2015,2015,201617211,,,,,,,,
27,WP,19538/2010,2010,201616720,,,,,,,,
28,WP,18795/2010,2010,201515071,,,,,,,,
29,SLP,18207/2014,2014,201616967,,,,,,,,
30,WP,37266/2012,2012,201616619,,,,,,,,
31,WP,6394/2011,2011,201616688,,,,,,,,
32,WA,538/2019,2019,201919716,,,,,,,,
33,WP,17225/2016,2016,201617760,,,,,,,,
34,WP,35629/2012,2012,201616430,,,,,,,,
35,SLP,20821/2015,2015,201515510,,,,,,,,
36,SLP,18228/2014,2014,201616988,,,,,,,,
37,SLP,27674/2014,2014,201617146,,,,,,,,
38,SLP,20822/2015,2015,201515511,,,,,,,,
39,SLP,19786/2014,2014,201617034,,,,,,,,
40,WP,3066/2011,2011,201616671,,,,,,,,
41,SLP,20856/2015,2015,201515553,,,,,,,,
42,WP,4997/2011,2011,201616676,,,,,,,,
43,WP,41186/2016,2016,201618030,,,,,,,,
44,SLP,20860/2015,2015,201515558,,,,,,,,
45,WP,36437/2012,2012,201616503,,,,,,,,
46,WP,22919/2010,2010,201616740,,,,,,,,
47,SLP,15389/2014,2014,201616915,,,,,,,,
48,SLP,20832/2015,2015,201515525,,,,,,,,
49,WP,36334/2012,2012,201616480,,,,,,,,
50,SLP,19825/2014,2014,201617062,,,,,,,,
51,WP,36333/2012,2012,201616479,,,,,,,,
52,SLP,12607/2015,2015,201617222,,,,,,,,
53,WP,22884/2010,2010,201515272,,,,,,,,
54,SLP,20839/2015,2015,201515532,,,,,,,,
55,WP,36568/2012,2012,201616511,,,,,,,,
56,WP,18738/2010,2010,201616781,,,,,,,,
57,SLP,19401/2014,2014,201617010,,,,,,,,
58,WP,25281/2010,2010,201515300,,,,,,,,
59,SLP,18219/2014,2014,201616979,,,,,,,,
60,WP,37328/2012,2012,201616632,,,,,,,,
61,SLP,20818/2015,2015,201515507,,,,,,,,
62,WP,19296/2010,2010,201617177,,,,,,,,
63,SLP,20853/2015,2015,201515549,,,,,,,,
64,SLP,19784/2014,2014,201617032,,,,,,,,
65,SLP,20837/2015,2015,201515530,,,,,,,,
66,SLP,21617/2014,2014,201617094,,,,,,,,
67,WP,23485/2019,2019,201920013,,,,,,,,
68,WP,36395/2012,2012,201616493,,,,,,,,
69,WP,36762/2012,2012,201616541,,,,,,,,
70,WP,2922/2011,2011,201616669,,,,,,,,
71,SLP,17469/2014,2014,201616950,,,,,,,,
72,WP,19540/2010,2010,201515187,,,,,,,,
73,WP,36040/2012,2012,201616450,,,,,,,,
74,WP,31323/2010,2010,201616763,,,,,,,,
75,SLP,27203/2014,2014,201617144,,,,,,,,
76,WP,2504/2011,2011,201616664,,,,,,,,
77,SLP,20826/2015,2015,201515519,,,,,,,,
78,WP,36459/2012,2012,201616506,,,,,,,,
79,WP,27686/2010,2010,201616752,,,,,,,,
