Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF SIDDIPET DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,781,2015,201514989,,,,,,,,
2,WP,2253,2015,201514478,,,,,,,,
3,WP,28246,2013,201514429,,,,,,,,
4,WP,26312/2023,2023,202328707,,,,,,,,
5,WP,29661/2013,2013,201919486,,,,,,,,
6,WP,10543,2014,201514463,,,,,,,,
7,WP,9565/2020,2020,202020908,,,,,,,,
8,WP,3309,2012,201514392,,,,,,,,
9,WP,28316/2013,2013,201514419,,,,,,,,
10,OS,165/2013,2013,201919484,,,,,,,,
11,WP,36811/2022,2022,202224839,,,,,,,,
12,LOK,5047/2013,2013,202224887,,,,,,,,
13,WP,31177/2023,2023,202328943,,,,,,,,
14,OS,72/2015,2015,201919485,,,,,,,,
15,WP,11580/2016,2016,201617893,,,,,,,,
16,WP,15850/2020,2020,202021316,,,,,,,,
17,WP,23706/2019,2019,201919998,,,,,,,,
18,WP,12703/2019,2019,201919729,,,,,,,,
19,WP,865/2016,2016,201617869,,,,,,,,
20,WP,29130,2017,201718464,,,,,,,,
21,WP,39462,2014,201514476,,,,,,,,
22,WP,33914/2022,2022,202224775,,,,,,,,
23,WP,17331/2016,2016,201617776,,,,,,,,
24,WP,27230,2013,201514410,,,,,,,,
25,WP,44669/2022,2022,202225035,,,,,,,,
26,WP,17046/2019,2019,201919877,,,,,,,,
