Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF SURYAPET DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,25831,2007,201513876,,,,,,,,
2,WP,595/2000,2000,201515984,,,,,,,,
3,WP,16934/2007,2007,201515914,,,,,,,,
4,CONSUMER CASE (CC),79/2021,2021,202222779,,,,,,,,
5,WP,1461/2015,2015,201516029,,,,,,,,
6,WP,1440/2015,2015,202328153,,,,,,,,
7,HRC,5588/2021,2021,202222854,,,,,,,,
8,CC(CF),63/2023,2023,202328453,,,,,,,,
9,WP,30903/2023,2023,202328941,,,,,,,,
10,CC(CF),65/2023,2023,202328469,,,,,,,,
11,WA,327,2009,201513939,,,,,,,,
12,CONSUMER CASE (CC),94/2021,2021,202122646,,,,,,,,
13,OS,259/2015,2015,201617237,,,,,,,,
14,WP,1423/2015,2015,201515307,,,,,,,,
15,WA,329,2009,201513943,,,,,,,,
16,WP,1422/2015,2015,201516030,,,,,,,,
17,WP,31189/2023,2023,202328914,,,,,,,,
18,WP,476/2015,2015,201516276,,,,,,,,
19,OS,258/2015,2015,201617236,,,,,,,,
20,WA,328,2009,201513941,,,,,,,,
21,WP,34713/2014,2014,201516008,,,,,,,,
22,WP,25326/1999,1999,201516259,,,,,,,,
23,OS,48/2014,2014,201617428,,,,,,,,
24,WP,2599/2016,2016,201617805,,,,,,,,
25,WA,326,2009,201513937,,,,,,,,
26,WP,20233/2008,2008,201516257,,,,,,,,
27,WP,668/2013,2013,201516005,,,,,,,,
28,WP,17091/2019,2019,201919971,,,,,,,,
29,WP,16304/2015,2015,201516010,,,,,,,,
30,WP,17113/2009,2009,201515915,,,,,,,,
31,WP,14416/2015,2015,201516011,,,,,,,,
32,WP,20740,2004,201513867,,,,,,,,
33,WP,1094/2020,2020,202020350,,,,,,,,
34,WP,9477/2020,2020,202020885,,,,,,,,
35,WP,32402/2021,2021,202122640,,,,,,,,
36,WP,20385/2014,2014,201515206,,,,,,,,
37,WP,10458/2021,2021,202121967,,,,,,,,
38,CONSUMER CASE (CC),80/2021,2021,202222780,,,,,,,,
39,CC(CF),52/2012,2012,201516138,,,,,,,,
40,WP,12557/2015,2015,201515203,,,,,,,,
41,WP,25461,1999,201516260,,,,,,,,
42,FA,629/2018,2018,201919156,,,,,,,,
43,WP,3338/2015,2015,201515222,,,,,,,,
44,CMAMP,6508/2004,2004,201515855,,,,,,,,
45,WP,40453/2012,2012,201516014,,,,,,,,
46,WP,12614/2017,2017,201718295,,,,,,,,
47,WP,10456/2020,2020,202020988,,,,,,,,
48,WP,26559/2019,2019,201920182,,,,,,,,
49,WP,2635/2000,2000,201515986,,,,,,,,
50,WP,17090/2019,2019,201919969,,,,,,,,
51,WP,14443,2014,201513916,,,,,,,,
52,WP,18490/2008,2008,201516026,,,,,,,,
53,WP,7950,2013,201513935,,,,,,,,
54,WP,22928/2008,2008,201516258,,,,,,,,
55,WP,6295/2012,2012,201516288,,,,,,,,
56,CC(CF),72/2013,2013,201516141,,,,,,,,
57,WP,21345/2006,2006,201516134,,,,,,,,
58,WP,8844/2017,2017,201718232,,,,,,,,
59,WP,6802/2000,2000,201515988,,,,,,,,
60,CC(CF),64/2023,2023,202328454,,,,,,,,
61,WP,4846/2015,2015,201515314,,,,,,,,
62,CC(CF),Mar-15,2015,201516143,,,,,,,,
63,WP,25321/2021,2021,202122490,,,,,,,,
