Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF TSPCC DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,WP,15848/2015,2015,201516113,,,,,,,,
2,CA,8496/2016,2016,201818630,,,,,,,,
3,WP,7965/2016,2016,201617875,,,,,,,,
4,WP,8964/2004,2004,201516044,,,,,,,,
5,WP,22850/2016,2016,201617929,,,,,,,,
6,WP,45376/2016,2016,201718562,,,,,,,,
7,WP,32992/2014,2014,201516060,,,,,,,,
8,WP,38163/2016,2016,201718559,,,,,,,,
9,WP,38140/2016,2016,201718558,,,,,,,,
10,WP,6530/2004,2004,201516043,,,,,,,,
11,WP,24594/2011,2011,201516052,,,,,,,,
12,WP,45378/2016,2016,201718563,,,,,,,,
13,WP,11353/2016,2016,201617914,,,,,,,,
14,WP,19268/2016,2016,201617920,,,,,,,,
15,WP,18466/2014,2014,201516058,,,,,,,,
16,WP,35039/2016,2016,201718556,,,,,,,,
17,WP,38137/2016,2016,201718557,,,,,,,,
18,WP,10772/2004,2004,201516062,,,,,,,,
19,WP,14254/2016,2016,201617917,,,,,,,,
20,WP,38169/2016,2016,201718560,,,,,,,,
21,WP,387/2007,2007,201515860,,,,,,,,
22,WP,38217/2016,2016,201718561,,,,,,,,
