Table 1
SOUTHERN POWER DISTRIBUTION COMPANY OF TS LIMITED,,,,,,,,,,,,
,,,,,,,,,,,,
EXPENDITURE REPORT ON COMMERCIAL MATTERS CASES OF VIKARABAD DURING THIS(DEC-23) MONTH,,,,,,,,,,,,
Sl.No,Case Type,Case Number,Case Year,Case ID,EXPENDITURE,,,,,,,
,,,,,Advocate Fee,Court Expenses,Cost,Fine,Compensation,Disposed Fee,Recovery,TOTAL
1,2,3,4,5,6,7,8,9,10,11,12,13
1,OS,91/2020,2020,202122275,,,,,,,,
2,CC(CF),616/2022,2022,202327670,,,,,,,,
3,OS,23/2006,2006,201513342,,,,,,,,
4,WP,7907,2012,201514156,,,,,,,,
5,WP,23416,2012,201514111,,,,,,,,
6,HRC,288/2022,2022,202224401,,,,,,,,
7,WP,1532,2012,201514093,,,,,,,,
8,WP,18478,2015,201514157,,,,,,,,
9,HRC,1223/2022,2022,202224402,,,,,,,,
10,WP,772,2007,201514101,,,,,,,,
11,WP,291/2021,2021,202122537,,,,,,,,
12,WP,12985/2023,2023,202328107,,,,,,,,
13,CC,511/2023,2023,202327824,,,,,,,,
14,WP,7513/2010,2010,201516082,,,,,,,,
15,CMA,398/2023,2023,202328526,,,,,,,,
16,WP,30635/2023,2023,202328902,,,,,,,,
17,WP,14540/2023,2023,202328231,,,,,,,,
18,WP,21096/2020,2020,202021557,,,,,,,,
19,WP,19889/2012,2012,201515182,,,,,,,,
20,WP,17287/2009,2009,201515055,,,,,,,,
21,WP,35691/2022,2022,202224823,,,,,,,,
22,WP,11796/2017,2017,201718293,,,,,,,,
23,HRC,1222/2022,2022,202225013,,,,,,,,
24,WP,21574/2016,2016,201617925,,,,,,,,
25,WP,34795/2015,2015,201718213,,,,,,,,
26,WP,1271/2017,2017,201718113,,,,,,,,
27,WPMP,19340/2015,2015,202122388,,,,,,,,
28,WP,18475/2015,2015,201515043,,,,,,,,
29,WP,8923/2016,2016,201617876,,,,,,,,
30,WP,33853/2018,2018,202020557,,,,,,,,
31,WP,28479,2013,201514129,,,,,,,,
32,WP,12496/2021,2021,202222801,,,,,,,,
33,WP,24257/2023,2023,202328620,,,,,,,,
34,WP,28623/2015,2015,201516040,,,,,,,,
35,WP,1440/2007,2007,201516106,,,,,,,,
36,WP,7334/2016,2016,201617911,,,,,,,,
37,OS,91/2020,2020,202122277,,,,,,,,
38,WP,23337/2019,2019,201920009,,,,,,,,
39,WP,23366/2019,2019,201920005,,,,,,,,
40,WP,39924/2018,2018,202222810,,,,,,,,
